id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,isGoal,cardType,shirtNo,name,progressive,homeTeam,awayTeam
2417442669.0,19.0,2.0,14.0,1463.0,9.975,62.220000000000006,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Clearance,Successful,"['BlockedCross', 'OppositeRelatedEvent', 'StandingSave', 'Zone']","[91, 59]",True,381687.0,,,,,,,,,,,,,,,Portimonense,Sporting
2417442691.0,20.0,2.0,16.0,1463.0,4.83,60.588,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",CornerAwarded,Unsuccessful,"['OppositeRelatedEvent', 'MissLeft', 'Zone']",[122],False,381687.0,,,,,,,,,,,,,,,Portimonense,Sporting
2417442711.0,28.0,2.0,16.0,296.0,100.17000000000002,7.412000000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",CornerAwarded,Successful,"['OppositeRelatedEvent', 'MissRight', 'Zone']",[122],False,362352.0,,,,,,,,,,,,24.0,Pedro Porro,,Portimonense,Sporting
2417442957.0,29.0,2.0,38.0,296.0,104.47500000000001,0.34,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndY', 'Zone', 'PassEndX', 'CornerTaken', 'LeftFoot', 'Cross', 'Length', 'Angle', 'StandingSave', 'Chipped']","[91, 138, 124, 126, 31, 33, 34, 35, 37, 217, 218]",True,279177.0,101.955,27.880000000000003,,,,,,,,,,23.0,Marcus Edwards,True,Portimonense,Sporting
2417443009.0,21.0,2.0,39.0,1463.0,4.83,40.392,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Clearance,Successful,"['Head', 'PassEndY', 'PassEndX', 'Length', 'Angle', 'Zone']","[91, 94, 95, 57, 216]",True,130506.0,41.160000000000004,63.03600000000001,,,,,,,,,,,,,Portimonense,Sporting
2417443063.0,30.0,2.0,44.0,296.0,57.855000000000004,4.216,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Zone', 'PassEndX', 'PassEndY', 'StandingSave', 'Length']","[91, 117, 30, 35, 37, 216, 218]",True,342699.0,44.94,23.936000000000003,,,,,,,,,,7.0,Bruno Tabata,False,Portimonense,Sporting
,,2.0,44.0,,44.94,23.936000000000003,,,Carry,,,,,362352.0,55.44,23.528000000000002,,,,,,,,,,24.0,Pedro Porro,True,Portimonense,Sporting
2417443067.0,22.0,2.0,46.0,1463.0,59.010000000000005,45.084,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Challenge,Unsuccessful,"['Defensive', 'OppositeRelatedEvent', 'Zone']",[55],False,130506.0,,,,,,,,,,,,,,,Portimonense,Sporting
2417443081.0,31.0,2.0,46.0,296.0,45.99,22.916000000000004,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",TakeOn,Successful,"['StandingSave', 'Zone', 'OppositeRelatedEvent', 'Offensive']","[91, 54]",True,362352.0,,,,,,,,,,,,24.0,Pedro Porro,,Portimonense,Sporting
2417443121.0,32.0,2.0,49.0,296.0,55.44,23.528000000000002,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'StandingSave', 'Zone', 'Angle', 'PassEndX', 'Length']","[91, 119, 117, 30, 35, 37, 216, 218]",True,362352.0,52.92,31.348000000000003,,,,,,,,,,24.0,Pedro Porro,False,Portimonense,Sporting
,,2.0,49.0,,52.92,31.348000000000003,,,Carry,,,,,322774.0,51.55500000000001,32.504,,,,,,,,,,6.0,João Palhinha,False,Portimonense,Sporting
2417443139.0,33.0,2.0,51.0,296.0,51.55500000000001,32.504,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Length', 'StandingSave', 'Angle', 'PassEndY', 'PassEndX']","[91, 117, 30, 35, 37, 216, 218]",True,322774.0,48.300000000000004,40.392,,,,,,,,,,6.0,João Palhinha,False,Portimonense,Sporting
2417443161.0,34.0,2.0,52.0,296.0,48.300000000000004,40.392,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Zone', 'Length', 'StandingSave', 'Angle', 'PassEndX']","[91, 117, 30, 36, 37, 216, 218]",True,71268.0,49.14,54.53600000000001,,,,,,,,,,4.0,Sebastián Coates,False,Portimonense,Sporting
2417443207.0,35.0,2.0,54.0,296.0,49.14,54.53600000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Zone', 'Angle', 'PassEndX', 'Length', 'PassEndY']","[91, 117, 30, 36, 38, 216, 218]",True,296364.0,51.24,39.78,,,,,,,,,,11.0,Nuno Santos,False,Portimonense,Sporting
2417443259.0,36.0,2.0,58.0,296.0,52.71000000000001,39.712,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Length', 'PassEndX', 'StandingSave', 'Zone', 'PassEndY']","[91, 119, 117, 30, 36, 37, 216, 218]",True,322774.0,59.43000000000001,65.688,,,,,,,,,,6.0,João Palhinha,False,Portimonense,Sporting
,,2.0,58.0,,59.43000000000001,65.688,,,Carry,,,,,296364.0,63.315,65.48400000000001,,,,,,,,,,11.0,Nuno Santos,False,Portimonense,Sporting
2417443297.0,37.0,3.0,2.0,296.0,63.315,65.48400000000001,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndX', 'Length', 'PassEndY', 'Zone', 'StandingSave']","[91, 119, 117, 30, 35, 38, 216, 218]",True,296364.0,55.964999999999996,62.83200000000001,,,,,,,,,,11.0,Nuno Santos,False,Portimonense,Sporting
