id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,cardType,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,isGoal,shirtNo,name,progressive,homeTeam,awayTeam
2374331515.0,15.0,2.0,21.0,2899.0,68.67000000000002,30.464,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Successful,"['Offensive', 'Zone', 'OppositeRelatedEvent', 'Foul']","[91, 63]",True,328509.0,,,,,,,,,,,,,,,Vizela,Sporting
2374331373.0,40.0,2.0,21.0,296.0,36.330000000000005,37.536,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Unsuccessful,"['Defensive', 'Foul', 'Zone', 'OppositeRelatedEvent']",[64],False,71268.0,,,,,,,,,,,,4.0,Sebastián Coates,,Vizela,Sporting
2374331413.0,41.0,2.0,27.0,296.0,0.0,0.0,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Card,Successful,"['Foul', 'Yellow']",[65],False,71268.0,,,"{'value': 31, 'displayName': 'Yellow'}",,,,,,,,,4.0,Sebastián Coates,,Vizela,Sporting
2374331663.0,16.0,3.0,16.0,2899.0,68.14500000000001,32.096000000000004,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'PassEndY', 'FreekickTaken', 'Length', 'Zone', 'Chipped', 'PassEndX']","[91, 120, 29, 124, 133, 36, 37, 217, 218]",True,421843.0,79.69500000000001,32.504,,,,,,,,,,,,True,Vizela,Sporting
2374331679.0,42.0,3.0,17.0,296.0,25.200000000000003,32.096000000000004,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Clearance,Successful,"['PassEndX', 'Angle', 'PassEndY', 'Length', 'Head', 'Zone']","[91, 94, 95, 57, 215]",True,135563.0,31.185000000000002,32.300000000000004,,,,,,,,,,21.0,Paulinho,,Vizela,Sporting
2374348493.0,556.0,3.0,18.0,296.0,29.085,39.508,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,344378.0,,,,,,,,,,,,28.0,Pote,,Vizela,Sporting
,,3.0,18.0,,29.085,39.508,,,Carry,,,,,344378.0,30.555000000000003,32.368,,,,,,,,,,28.0,Pote,False,Vizela,Sporting
2374331683.0,43.0,3.0,19.0,296.0,30.555000000000003,32.368,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'PassEndY', 'Angle', 'PassEndX', 'Zone']","[91, 118, 120, 29, 36, 38, 215, 218]",True,344378.0,34.02,27.404,,,,,,,,,,28.0,Pote,False,Vizela,Sporting
2374348477.0,321.0,3.0,20.0,2899.0,72.24,43.248000000000005,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,421843.0,,,,,,,,,,,,,,,Vizela,Sporting
2374331691.0,17.0,3.0,21.0,2899.0,77.49,42.772000000000006,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'PassEndY', 'Length', 'Angle']","[91, 119, 117, 30, 205, 35, 37, 217, 218]",True,421843.0,76.02000000000001,56.168,,,,,,,,,,,,False,Vizela,Sporting
2374331707.0,18.0,3.0,22.0,2899.0,76.44,56.236000000000004,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Angle', 'PassEndX', 'PassEndY', 'Length']","[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,124107.0,95.97000000000001,58.61600000000001,,,,,,,,,,,,False,Vizela,Sporting
2374331711.0,19.0,3.0,25.0,2899.0,95.76,58.208,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",TakeOn,Unsuccessful,"['OppositeRelatedEvent', 'Offensive', 'Zone']","[91, 53]",True,36137.0,,,,,,,,,,,,,,,Vizela,Sporting
2374331725.0,44.0,3.0,25.0,296.0,9.240000000000002,9.792000000000002,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Tackle,Unsuccessful,"['Defensive', 'Zone', 'OppositeRelatedEvent']","[91, 142]",True,109474.0,,,,,,,,,,,,47.0,Ricardo Esgaio,,Vizela,Sporting
2374331745.0,20.0,3.0,26.0,2899.0,95.865,58.61600000000001,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['ShotAssist', 'Angle', 'Length', 'Zone', 'PassEndY', 'PassEndX', 'KeyPass']","[91, 119, 117, 30, 123, 205, 40, 46, 35, 38, 217, 218]",True,36137.0,89.14500000000001,50.592000000000006,,,,,,,,,,,,False,Vizela,Sporting
2374331749.0,21.0,3.0,29.0,2899.0,89.775,50.388,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",SavedShot,Successful,"['Blocked', 'BlockedY', 'RelatedEventId', 'GoalMouthY', 'OppositeRelatedEvent', 'RegularPlay', 'BoxLeft', 'RightFoot', 'Assisted', 'BlockedX', 'GoalMouthZ', 'LowLeft', 'Zone']","[91, 10, 1, 3, 11, 12]",True,421843.0,,,,20.0,36137.0,88.5,69.5,19.0,51.9,True,,,,,Vizela,Sporting
2374331741.0,45.0,3.0,29.0,296.0,12.18,19.244000000000003,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Save,Successful,"['Zone', 'OppositeRelatedEvent', 'OutfielderBlock']","[91, 58]",True,395992.0,,,,,,,,,,,,25.0,Gonçalo Inácio,,Vizela,Sporting
2374331777.0,22.0,3.0,30.0,2899.0,72.45,56.71200000000001,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Successful,"['Zone', 'Offensive', 'OppositeRelatedEvent']","[197, 199]",False,421845.0,,,,,,,,,,,,,,,Vizela,Sporting
