id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,blockedX,blockedY,isGoal,cardType,shirtNo,name,progressive,homeTeam,awayTeam
2375685647.0,20.0,2.0,46.0,108.0,57.645,65.28,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Longball', 'PassEndY', 'StandingSave', 'PassEndX', 'Length', 'Zone', 'Angle']","[91, 117, 127, 35, 38, 215, 218]",True,392742.0,30.765,24.276000000000003,,,,,,,,,,,,False,Moreirense,Santa Clara
2375685699.0,21.0,2.0,53.0,108.0,31.5,20.196,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'PassEndY', 'PassEndX', 'Angle', 'StandingSave']","[91, 117, 30, 36, 38, 216, 218]",True,121484.0,37.38,6.392,,,,,,,,,,,,False,Moreirense,Santa Clara
2375685793.0,22.0,2.0,54.0,108.0,36.96000000000001,6.460000000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'Angle', 'Length', 'StandingSave', 'Zone']","[91, 117, 30, 35, 37, 215, 218]",True,322792.0,14.595,26.588000000000005,,,,,,,,,,,,False,Moreirense,Santa Clara
2375685871.0,23.0,2.0,59.0,108.0,14.490000000000002,26.860000000000003,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Chipped', 'Zone', 'PassEndX', 'Longball', 'Length', 'Angle', 'PassEndY', 'StandingSave']","[91, 117, 124, 127, 36, 37, 216, 218]",True,408374.0,40.425000000000004,64.396,,,,,,,,,,,,False,Moreirense,Santa Clara
2375685971.0,24.0,3.0,2.0,108.0,40.425000000000004,64.396,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Angle', 'PassEndY', 'StandingSave', 'Zone', 'Length']","[91, 117, 30, 35, 38, 216, 218]",True,392742.0,36.96000000000001,49.980000000000004,,,,,,,,,,,,False,Moreirense,Santa Clara
2375686119.0,25.0,3.0,5.0,108.0,36.855000000000004,48.008,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'StandingSave', 'Length', 'Angle', 'PassEndY', 'Zone']","[91, 117, 30, 36, 38, 216, 218]",True,370018.0,47.88,30.26,,,,,,,,,,,,False,Moreirense,Santa Clara
2375686167.0,26.0,3.0,8.0,108.0,47.98500000000001,35.224000000000004,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'StandingSave', 'Angle', 'Zone', 'PassEndX']","[91, 117, 30, 35, 38, 216, 218]",True,421984.0,36.12,30.056000000000004,,,,,,,,,,,,False,Moreirense,Santa Clara
2375686217.0,27.0,3.0,10.0,108.0,36.12,29.444,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'PassEndY', 'Length', 'Zone', 'Angle', 'StandingSave']","[91, 117, 30, 36, 38, 216, 218]",True,121484.0,44.730000000000004,3.808,,,,,,,,,,,,False,Moreirense,Santa Clara
2375686283.0,28.0,3.0,12.0,108.0,45.045,3.808,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndX', 'StandingSave', 'PassEndY', 'Length', 'Zone']","[91, 119, 117, 30, 36, 37, 216, 218]",True,322792.0,58.695,6.868,,,,,,,,,,,,False,Moreirense,Santa Clara
2375686289.0,29.0,3.0,14.0,108.0,58.695,6.868,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndX', 'StandingSave', 'Zone', 'PassEndY', 'Angle', 'Length']","[91, 120, 29, 36, 38, 216, 218]",True,318686.0,61.425000000000004,4.828,,,,,,,,,,,,False,Moreirense,Santa Clara
