shirtNo,team,minutes,prog_passes,prog_carries,defensive_actions,suc_take_ons,total_passes,suc_passes,take_ons,xt,final_third_entries,final_third_passes,penalty_box_entries,penalty_box_passes,key_passes,Goals,Assists,Shots,xG,xGOT,xA,ChancesCreated,name,playerId,fotmob_name,fotmob_player_id
6.0,Chaves,373.0,11.0,10.0,55.0,6.0,131.0,112.0,7.0,0.3750243699999999,3.0,12.0,0.0,2.0,1.0,0.0,2.0,2.0,0.18,0.02,0.37,7.0,Kevin Pina,438902.0,Kevin Pina,890503.0
6.0,Famalicao,270.0,12.0,6.0,29.0,1.0,154.0,131.0,2.0,0.1837874599999999,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.03,1.0,Alexandre Penetra,422248.0,Alexandre Penetra,1186780.0
6.0,Maritimo,56.0,1.0,1.0,6.0,0.0,18.0,11.0,0.0,0.0195224699999999,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06,0.0,0.01,0.0,Rafael Brito,433586.0,Rafael Brito,1080681.0
6.0,Pacos-de-Ferreira,363.0,9.0,14.0,45.0,7.0,231.0,193.0,12.0,0.0884282599999996,3.0,17.0,1.0,0.0,0.0,0.0,0.0,2.0,0.3099999999999999,0.05,0.06,3.0,Jordan Holsgrove,408941.0,Jordan Holsgrove,877568.0
6.0,Portimonense,218.0,6.0,4.0,32.0,0.0,107.0,90.0,1.0,0.5109227499999999,0.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.23,1.0,Henrique Jocú,422208.0,Henrique Jocu,1187277.0
6.0,Rio-Ave,620.0,24.0,27.0,61.0,6.0,295.0,232.0,9.0,1.6538989600000005,19.0,29.0,0.0,16.0,3.0,1.0,0.0,4.0,0.51,1.06,0.63,12.0,Guga,380617.0, Guga,767713.0
6.0,Sporting,30.0,1.0,2.0,7.0,0.0,12.0,11.0,2.0,0.04819939,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,1.0,Sotirios Alexandropoulos,418175.0,Sotiris Alexandropoulos,1093025.0
6.0,Vitoria-de-Guimaraes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Abdul Mumin,776591.0
6.0,Vizela,208.0,13.0,2.0,28.0,2.0,111.0,96.0,3.0,0.4557086599999997,0.0,16.0,0.0,3.0,0.0,0.0,0.0,2.0,0.14,0.38,0.05,0.0,Claudemir,36137.0, Claudemir,114688.0
7.0,Arouca,499.0,6.0,26.0,52.0,12.0,124.0,95.0,30.0,0.2366234699999999,10.0,5.0,2.0,2.0,0.0,1.0,0.0,5.0,0.23,0.36,0.1599999999999999,0.0,André Bukia,298402.0,Andre Bukia,687288.0
7.0,Benfica,461.0,28.0,44.0,25.0,18.0,280.0,211.0,30.0,2.66046104,18.0,12.0,10.0,21.0,1.0,3.0,0.0,10.0,0.98,1.9,2.01,11.0,David Neres,326505.0,David Neres,793066.0
7.0,Boavista,509.0,26.0,65.0,43.0,21.0,182.0,134.0,53.0,1.84435086,32.0,17.0,13.0,13.0,5.0,0.0,2.0,4.0,1.5399999999999998,0.4499999999999999,0.8700000000000001,11.0,Kenji Gorré,280768.0,Kenji Gorré,643232.0
7.0,Braga,57.0,1.0,3.0,7.0,0.0,10.0,8.0,0.0,0.0680995299999999,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.19,0.69,0.01,0.0,Rodrigo Gomes,402823.0,Rodrigo Gomes,1192166.0
7.0,Casa-Pia,589.0,11.0,58.0,46.0,12.0,162.0,98.0,33.0,1.7710799099999996,17.0,1.0,13.0,13.0,5.0,2.0,0.0,7.0,1.02,2.17,0.8300000000000001,8.0,Saviour Godwin,444768.0,Saviour Godwin,643712.0
7.0,Chaves,25.0,0.0,1.0,2.0,0.0,17.0,9.0,1.0,0.0131321699999998,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Luther Singh,294243.0,Luther Singh,672084.0
7.0,Estoril,383.0,7.0,27.0,33.0,5.0,91.0,68.0,10.0,0.64977303,8.0,6.0,5.0,4.0,0.0,1.0,0.0,5.0,1.51,1.01,0.49,5.0,Rodrigo Martins,444630.0,Rodrigo Martins,955822.0
7.0,Famalicao,313.0,22.0,15.0,34.0,6.0,132.0,95.0,14.0,1.05441366,8.0,13.0,1.0,8.0,0.0,0.0,1.0,1.0,0.13,0.07,0.48,5.0,Ivo Rodrigues,119622.0,Ivo Rodrigues,388532.0
7.0,Gil-Vicente,107.0,0.0,2.0,5.0,2.0,12.0,4.0,4.0,0.07926566,0.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.3399999999999999,0.19,0.11,1.0,Bilel Aouacheria,345380.0,Bilel Aouacheria,566403.0
7.0,Maritimo,540.0,15.0,37.0,51.0,9.0,136.0,91.0,24.0,0.8590138999999999,9.0,7.0,4.0,4.0,0.0,0.0,0.0,2.0,0.3799999999999998,0.0,0.24,2.0,André Vidigal,361831.0,André Vidigal,819916.0
7.0,Pacos-de-Ferreira,446.0,8.0,20.0,22.0,10.0,124.0,74.0,26.0,0.8088572699999999,7.0,3.0,2.0,3.0,0.0,0.0,0.0,3.0,0.16,0.5800000000000001,0.42,2.0,Nigel Thomas,444941.0,Nigel Thomas,1012783.0
7.0,Porto,152.0,4.0,20.0,10.0,2.0,57.0,43.0,5.0,0.47643008,4.0,4.0,2.0,3.0,0.0,0.0,0.0,3.0,0.47,0.56,0.46,2.0,Gabriel Veron,388685.0,Gabriel Veron,1106898.0
7.0,Santa-Clara,462.0,20.0,33.0,47.0,9.0,198.0,130.0,25.0,1.3891531899999998,14.0,13.0,3.0,8.0,3.0,1.0,0.0,2.0,1.07,1.11,0.79,6.0,Allano,281935.0, Allano,646517.0
7.0,Vitoria-de-Guimaraes,611.0,25.0,41.0,39.0,10.0,197.0,135.0,26.0,1.8011710399999998,15.0,14.0,11.0,15.0,3.0,1.0,0.0,6.0,1.64,1.39,1.41,14.0,Ruben Lameiras,276037.0,Ruben Lameiras,627599.0
7.0,Vizela,54.0,7.0,1.0,11.0,0.0,35.0,31.0,0.0,0.06084057,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,Carlos Isaac,355152.0,Carlos Munoz,923762.0
8.0,Arouca,427.0,10.0,11.0,27.0,1.0,141.0,102.0,7.0,0.3689559199999997,1.0,6.0,1.0,1.0,2.0,0.0,1.0,1.0,0.26,0.13,0.15,4.0,Arsénio,96271.0, Arsénio,242904.0
8.0,Benfica,120.0,4.0,7.0,16.0,2.0,127.0,109.0,3.0,0.1912410799999999,2.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02,0.0,0.07,0.0,Fredrik Aursnes,303544.0,Fredrik Aursnes,310768.0
